epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,12575.6,0.76617,0.88394,1.04468,0.73821,0.72937,0.75208,0.6253,0.67005,0.69603,0.95806,0.000151939,0.000151939,0.000151939
84,12726.9,0.76418,0.87013,1.04644,0.74937,0.72227,0.75406,0.62732,0.67148,0.69708,0.95889,0.000145085,0.000145085,0.000145085
85,12876.6,0.75239,0.86651,1.03756,0.73672,0.73126,0.74953,0.62298,0.67098,0.69477,0.95838,0.00013823,0.00013823,0.00013823
86,13026.1,0.75933,0.87054,1.04356,0.7491,0.72418,0.75297,0.62574,0.67095,0.69735,0.95942,0.000131376,0.000131376,0.000131376
87,13177.2,0.75409,0.8566,1.03681,0.7445,0.72906,0.75495,0.6285,0.6689,0.69304,0.95741,0.000124522,0.000124522,0.000124522
88,13327.7,0.74452,0.84935,1.03722,0.74363,0.73421,0.76018,0.634,0.66848,0.69054,0.95631,0.000117667,0.000117667,0.000117667
89,13479.5,0.74279,0.84824,1.03763,0.74764,0.72474,0.7579,0.62991,0.66803,0.6891,0.95631,0.000110813,0.000110813,0.000110813
90,13632.9,0.75819,0.86592,1.04089,0.75234,0.72525,0.76024,0.63336,0.66424,0.6871,0.9553,0.000103958,0.000103958,0.000103958
91,13790.1,0.7053,0.72958,1.01865,0.74833,0.74226,0.76373,0.63696,0.66374,0.67967,0.95346,9.7104e-05,9.7104e-05,9.7104e-05
92,13940.3,0.68976,0.6998,1.00053,0.74409,0.75082,0.76722,0.64037,0.66317,0.67501,0.95396,9.02496e-05,9.02496e-05,9.02496e-05
93,14088.8,0.7086,0.7133,1.01227,0.75551,0.74427,0.77354,0.64593,0.66184,0.66724,0.95292,8.33952e-05,8.33952e-05,8.33952e-05
94,14237,0.69994,0.70836,1.00914,0.76368,0.7496,0.77767,0.64978,0.6564,0.66331,0.94993,7.65408e-05,7.65408e-05,7.65408e-05
95,14383.7,0.68108,0.67909,0.99633,0.76362,0.75327,0.78001,0.65092,0.65488,0.65859,0.94875,6.96864e-05,6.96864e-05,6.96864e-05
96,14528.7,0.68024,0.6746,0.99913,0.76406,0.74753,0.78049,0.65226,0.653,0.65553,0.94733,6.2832e-05,6.2832e-05,6.2832e-05
97,14674.3,0.66896,0.67338,0.99286,0.76596,0.75029,0.7831,0.65446,0.64954,0.65207,0.94635,5.59776e-05,5.59776e-05,5.59776e-05
98,14818.4,0.67574,0.67349,0.99514,0.76971,0.75052,0.78547,0.65714,0.64691,0.64958,0.94542,4.91232e-05,4.91232e-05,4.91232e-05
99,14964.8,0.67675,0.67049,0.99556,0.76453,0.75685,0.78536,0.65691,0.64517,0.64701,0.94398,4.22688e-05,4.22688e-05,4.22688e-05
100,15110.4,0.67507,0.66743,0.99097,0.75866,0.76217,0.7843,0.65627,0.64538,0.64757,0.94385,3.54144e-05,3.54144e-05,3.54144e-05
